City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,isafjordur,66.0755,-23.124,7.74,81,52,3.15,IS,1686621751
84,mersa matruh,31.3525,27.2453,21.11,88,0,0.0,EG,1686621751
85,feodosiya,45.0333,35.3833,18.39,87,100,1.43,UA,1686621751
86,claveria,18.6074,121.0832,28.13,79,100,1.87,PH,1686621751
87,polyarnyy,69.1989,33.4478,9.26,71,99,3.42,RU,1686621751
88,kingston,17.997,-76.7936,28.53,75,20,5.14,JM,1686621707
89,invercargill,-46.4,168.35,11.93,79,72,0.98,NZ,1686621631
90,wailua homesteads,22.0669,-159.378,26.53,72,0,2.68,US,1686621751
91,salinas,36.6777,-121.6555,18.45,74,100,5.66,US,1686621751
92,st. john's,47.5649,-52.7093,7.66,94,100,9.26,CA,1686621605
93,knyaze-volkonskoye,48.4642,135.4567,20.19,55,15,3.27,RU,1686621752
94,punta arenas,-53.15,-70.9167,6.06,70,20,8.75,CL,1686621474
95,dudinka,69.4058,86.1778,8.68,61,80,2.73,RU,1686621752
96,juneau,58.3019,-134.4197,12.34,94,100,2.2,US,1686621604
97,bredasdorp,-34.5322,20.0403,13.95,73,67,11.33,ZA,1686621752
98,klyuchi,52.2667,79.1667,17.64,64,16,4.15,RU,1686621752
99,hermanus,-34.4187,19.2345,16.0,86,100,13.14,ZA,1686621752
100,labytnangi,66.6572,66.4183,7.51,49,99,3.66,RU,1686621752
101,talnakh,69.4865,88.3972,8.45,73,97,1.83,RU,1686621753
102,mohgaon,21.65,78.7167,32.77,40,100,4.11,IN,1686621753
103,carutapera,-1.195,-46.02,24.5,94,84,3.04,BR,1686621753
104,olovyannaya,50.95,115.5667,27.71,29,75,4.07,RU,1686621753
105,rundu,-17.9333,19.7667,9.69,36,3,3.01,NA,1686621753
106,betio village,1.358,172.9211,30.02,79,92,5.92,KI,1686621753
107,port lincoln,-34.7333,135.8667,13.97,57,92,10.39,AU,1686621753
108,haiku-pauwela,20.9219,-156.3051,25.58,74,67,7.39,US,1686621753
109,ilulissat,69.2167,-51.1,2.01,75,75,0.0,GL,1686621754
110,shizunai-furukawacho,42.3339,142.3669,16.61,84,98,4.0,JP,1686621754
111,vernon,50.2581,-119.2691,33.2,27,33,1.54,CA,1686621490
112,granite shoals,30.5891,-98.3839,31.97,55,0,3.09,US,1686621754
113,manicore,-5.8092,-61.3003,25.6,77,59,0.46,BR,1686621754
114,fort mcmurray,56.7268,-111.381,20.77,49,0,1.03,CA,1686621606
115,eraan,9.0629,117.7016,30.81,64,100,1.1,PH,1686621754
116,san pedro pochutla,15.7333,-96.4667,26.34,84,33,2.0,MX,1686621754
117,linqiong,30.4159,103.4609,28.9,46,100,1.01,CN,1686621754
118,maymana,35.9214,64.7836,27.39,22,0,1.37,AF,1686621755
119,lihue,21.9789,-159.3672,26.87,72,0,5.89,US,1686621755
120,port alfred,-33.5906,26.891,11.21,76,100,1.34,ZA,1686621755
121,olindina,-11.3667,-38.3333,21.02,96,7,2.2,BR,1686621755
122,tofol,5.3248,163.0078,29.88,70,100,1.54,FM,1686621755
123,hithadhoo,-0.6,73.0833,28.73,71,54,4.16,MV,1686621755
124,sampit,-2.5333,112.95,29.46,69,86,1.69,ID,1686621755
125,sidney,-33.8679,151.2073,18.76,66,0,6.69,AU,1686621530
126,lata,40.1629,-8.3327,18.37,98,100,1.7,PT,1686621756
127,greenville,35.6127,-77.3663,23.09,98,100,2.06,US,1686621605
128,bardai,11.65,7.2333,22.5,85,53,3.16,NG,1686621756
129,albany,42.6001,-73.9662,20.74,82,100,0.89,US,1686621601
130,weno,7.4515,151.8468,29.17,78,97,7.7,FM,1686621756
131,kolonia town,6.964,158.206,28.77,76,89,7.85,FM,1686621756
132,kamaishi,39.2667,141.8833,21.04,83,92,2.21,JP,1686621756
133,huarmey,-10.0681,-78.1522,21.13,81,10,6.14,PE,1686621757
134,el calafate,-50.3408,-72.2768,0.38,69,100,1.58,AR,1686621757
135,margaret river,-33.95,115.0667,15.77,69,100,7.38,AU,1686621757
136,coquimbo,-29.9533,-71.3436,10.85,81,75,1.54,CL,1686621757
137,crane,31.3974,-102.3501,33.59,12,1,4.48,US,1686621757
138,hilo,19.7297,-155.09,27.57,72,81,2.68,US,1686621729
139,santanyi,39.3546,3.1291,20.93,79,74,1.7,ES,1686621757
140,port elizabeth,-33.918,25.5701,14.16,65,0,4.63,ZA,1686621757
141,berbera,10.4396,45.0143,33.18,47,95,8.06,SO,1686621758
142,aldan,58.6031,125.3894,3.29,96,100,1.46,RU,1686621758
143,bella union,-30.2752,-57.6007,5.06,53,0,3.62,UY,1686621758
144,ust-nera,64.5667,143.2,7.47,90,100,4.44,RU,1686621758
145,whitehorse,60.7161,-135.0538,17.43,21,40,5.66,CA,1686621272
146,udachny,66.4167,112.4,16.36,35,19,7.02,RU,1686621758
147,kalmunai,7.4167,81.8167,27.85,74,94,1.98,LK,1686621758
148,nadi,-17.8,177.4167,28.0,69,40,4.63,FJ,1686621759
149,fale old settlement,-9.3852,-171.2468,28.45,77,12,6.53,TK,1686621759
150,kronoby,63.7286,23.0339,11.68,56,0,2.57,FI,1686621759
151,iskateley,67.6803,53.1512,8.34,68,69,3.86,RU,1686621759
152,puerto madryn,-42.7692,-65.0385,6.44,51,73,2.94,AR,1686621759
153,puerto princesa,9.7392,118.7353,29.99,74,40,2.06,PH,1686621759
